year,title,meeting,location,authors
2023,Factor influence on satisfaction with upland-game hunting in Nebraska ,The Wildlife Society Nebraska Chapter Annual Meeting,"Kearney, NE","M.P. Gruntorad,  J. J. Lusk, C. J. Chizinski. "
2023,Using computational approaches to better understand human behaviors in the natural resources,Midwest Fish and Wildlife Conference,"Overland Park, KS","M. P. Gruntorad,  K. A. Graham, S. Ulrichsen"
2023,Qualitative methods for natural resource management,Midwest Fish and Wildlife Conference,"Overland Park, KS","K. A. Graham, K. Hyberger, C. J. Chizinski"
2022,Measuring the association between social capital and landowner surface-water conservation behavior adoption,Pathways Human Dimensions Conference,"Bremerton, WA","K. A. Graham, M. P. Gruntorad, I. McFarlin, A. Otto, D. Morales, C. Winter, C. J. Chizinski"
2022,Fishing and hunting through the pandemic in Nebraska,Midwest Fish and Wildlife Conference,"Overland Park, KS","C. J. Chizinski, M. P. Gruntorad,  K. L. Hurley"
2022,Cessation of mentors to waterfowl hunting,Midwest Fish and Wildlife Conference,"Overland Park, KS","C. J. Chizinski,  M. P. Gruntorad"
2022,Measuring the association between social capital and landowner surface-water conservation behavior adoption,Annual Meeting of the Wildlife Society,"Spokane, WA","K. A. Graham, M. P. Gruntorad, I. McFarlin, A. Otto, D. Morales, C. Winter, C. J. Chizinski"
2022,Using a decision tree approach to assess satisfaction attributes of waterfowl hunters in the United States.,Annual Meeting of the Wildlife Society,"Spokane, WA","C. J. Chizinski, K. A. Graham, M. P. Gruntorad,  M. P. Vrtiska"
2021,Physiological response of fish exposed to acute thermal stresses.,Annual Meeting of the  American Fisheries Society,"Baltiore, MD","I. Jahan, C. J. Chizinski,  J. Poletto"
2021,Attitudes about the two-tier duck regulations by current Nebraska and South Dakota hunters.,Nebraska Chapter of The Wildlife Society,"Kearney, NE","M. P. Gruntorad, M. P. Vrtiska, R. Murano, J. Bushaw,  C. J. Chizinski"
2020,Development and application of an open-sourced dashboard to improve our understanding of wildlife recreationist,Midwest Fish and Wildlife Conference,"Des Moines, IA","C. J. Chizinski, N. B. Price, K. L. Pope, M. Rahe, J. Rawlinson"
2020,Role of public land access in the Central Flyway,Midwest Fish and Wildlife Conference,"Des Moines, IA","M. P. Gruntorad, M. P. Vrtiska,  C. J. Chizinski"
2020,Gaining a better understanding of Nebraska’s fur trappers,Midwest Fish and Wildlife Conference,"Des Moines, IA","J. G. Harvey, M. P. Gruntorad, S. P. Wilson,  C. J. Chizinski"
2020,Foraging for wild edibles in the upper Great Plains:  A policy brief,Midwest Fish and Wildlife Conference,"Des Moines, IA","I. I. McFarlin,  C. J. Chizinski"
2020,Constraints to Female Anglers Participating in Hunting in Nebraska,Midwest Fish and Wildlife Conference,"Des Moines, IA","K. A. Graham, M. P. Hinrichs, A. S. Grams,  C. J. Chizinski"
2019,Identity Crisis in Wild Turkey: Genetic and Plumage Variation,American Fisheries Society and The Wildlife Society Joint Annual Conference,"Reno, NV","B. L. Buchanan, R. M. Zink, H. Vázquez-Mira, and C. J. Chizinski"
2019,Social-Ecological Catchments,American Fisheries Society and The Wildlife Society Joint Annual Conference,"Reno, NV","M.A. Kaemingk, C. Ruskamp, C. J. Chizinski.  K. L. Pope"
2019,Using bad data for good: simulating detection uncertainty for spatial analysis planning,National Meeting of the Ecological Society of America,"Milwaukee, WI","L. S. Wszola, V. L. Simonsen, L. Corral, C. J. Chizinski,  J. J.  Fontaine"
2019,Factors affecting Sandhills ranchers's willingness to engage in conservation practices,Annual Nebraska Natural Legacy Conference,"Gering, NE","M. P. Gruntorad, K. A. Graham, N. Arcilla,  C. J. Chizinski"
2019,Identifying factors of satisfaction for waterfowl hunters,Pathways Human Dimensions Conference,"Estes Park, CO","M. P. Gruntorad, J. J. Lusk, M. P. Vrtiska,  C. J. Chizinski"
2019,Using Mark-Recapture Methods to Model Nebraska Waterfowl Hunter Behavior,Pathways Human Dimensions Conference,"Estes Park, CO","K. Graham, C. J. Chizinski, M. P. Vrtiska, L. A. Powell,  P. Devers"
2019,Barriers to waterfowl hunting in the central United States,Pathways Human Dimensions Conference,"Estes Park, CO","M. P. Hinrichs, K. Graham, M. P Vrtiska  C. J. Chizinski"
2019,Influencing factors on hunters’ willingness to pay for hunting license fees,International Symposium on Society and Resource Management,"Oskosh, WI","M. P. Gruntorad, J. J. Lusk,  C. J. Chizinski"
